UID,Type,Name,Programs,AKAs,Addresses,DOB
"36","Entity","AEROCARIBBEAN AIRLINES","CUBA","AERO-CARIBBEAN","Havana, Cuba",""
"173","Entity","ANGLO-CARIBBEAN CO., LTD.","CUBA","AVIA IMPORT","London, United Kingdom",""
"306","Entity","BANCO NACIONAL DE CUBA","CUBA","BNC | NATIONAL BANK OF CUBA","Zurich, Switzerland | Madrid, Spain | Tokyo, Japan | Panama City, Panama",""
"424","Entity","BOUTIQUE LA MAISON","CUBA","","Panama City, Panama",""
"475","Entity","CASA DE CUBA","CUBA","","Spain | Mexico",""
"480","Entity","CECOEX, S.A.","CUBA","","Panama City, Panama",""
"535","Entity","CIMEX","CUBA","","Mexico, D.F., Mexico",""
"536","Entity","CIMEX IBERICA","CUBA","","Spain",""
"537","Entity","CIMEX, S.A.","CUBA","","Panama",""
"540","Entity","COMERCIAL IBEROAMERICANA, S.A.","CUBA","COIBA","Spain",""
"551","Entity","COMERCIAL CIMEX, S.A.","CUBA","","Panama",""
"552","Entity","COMERCIAL DE RODAJES Y MAQUINARIA, S.A.","CUBA","CRYMSA","Madrid, Spain",""
"555","Entity","COMERCIALIZACION DE PRODUCTOS VARIOS","CUBA","COPROVA | COPROVA SARL","Paris, France",""
"559","Entity","COMPANIA DE IMPORTACION Y EXPORTACION IBERIA","CUBA","CIMEX","Spain",""
"576","Entity","CORPORACION CIMEX, S.A.","CUBA","","Panama",""
"578","Entity","COTEI","CUBA","","Milan, Italy",""
"589","Entity","CRYMSA - ARGENTINA, S.A.","CUBA","","Buenos Aires, Argentina",""
"590","Entity","CUBACANCUN CIGARS AND GIFT SHOPS","CUBA","","Cancun, Mexico",""
"591","Entity","CUBAEXPORT","CUBA","","Spain",""
"592","Entity","CUBAFRUTAS","CUBA","","Spain",""
"593","Entity","CUBAN CIGARS TRADE","CUBA","","Italy",""
"621","Entity","CUBANATUR","CUBA","","Mexico, D.F., Mexico",""
"622","Entity","CUBATABACO","CUBA","","Spain",""
"636","Entity","CUMEXINT, S.A.","CUBA","","Mexico City, Mexico",""
"651","Entity","DELVEST HOLDING, S.A.","CUBA","DELVEST HOLDING COMPANY","Geneva, Switzerland",""
"701","Entity","EDICIONES CUBANAS","CUBA","","Spain",""
"702","Entity","EDYJU, S.A.","CUBA","","Panama",""
"735","Entity","EMPRESA CUBANA DE AVIACION","CUBA","CUBANA AIRLINES","Georgetown, Guyana | Paris, France | Luanda, Angola | Moscow, Russia | Buenos Aires, Argentina | Berlin, Germany | Montreal, Canada | Prague, Czech Republic | Lima, Peru | Port au Prince, Haiti | London, United Kingdom | Kingston, Jamaica | Mexico City, Mexico | Panama City, Panama | Barbados | Madrid, Spain",""
"751","Entity","EMPRESA CUBANA DE PESCADOS Y MARISCOS","CUBA","CARIBEX | CARIBBEAN EXPORT ENTERPRISE","Paris, France | Milan, Italy | Moscow, Russia | Madrid, Spain | Cologne, Germany | Ontario, Canada | Tokyo, Japan",""
"758","Entity","EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL","CUBA","CUBATUR","Buenos Aires, Argentina",""
"767","Entity","ETCO INTERNATIONAL COMMODITIES LTD.","CUBA","","London, United Kingdom",""
"768","Entity","ETCO INTERNATIONAL COMPANY, LIMITED","CUBA","","Tokyo, Japan",""
"815","Entity","GALAX TRADING CO., LTD.","CUBA","GALAX INC.","Montreal, Canada",""
"906","Entity","HAVIN BANK LIMITED","CUBA","HAVANA INTERNATIONAL BANK, LTD","London, United Kingdom | Havana, Cuba",""
"907","Entity","HAVANATUR","CUBA","","Paris, France",""
"1042","Entity","INSTITUTO NACIONAL DE TURISMO DE CUBA","CUBA","","Spain",""
"1043","Entity","INTERCONSULT","CUBA","","Panama",""
"1241","Entity","KAVE, S.A.","CUBA","","Panama",""
"1287","Entity","LA EMPRESA CUBANA DE FLETES","CUBA","CUFLET | CUBAN FREIGHT ENTERPRISE","Pyongyang, Korea, North | Moscow, Russia | Barcelona, Spain | Rostock, Germany | Genoa, Italy | Syczecin, Poland | Rotterdam, Netherlands | Mexico | Buenos Aires, Argentina | Montreal, Canada | Varna, Bulgaria",""
"1316","Entity","LEVERAGE, S.A.","CUBA","","Buenos Aires, Argentina",""
"1555","Entity","NIREF","CUBA","","Rotterdam, Netherlands",""
"1570","Entity","NORDSTRAND LTD.","CUBA","","Liechtenstein",""
"1571","Entity","NORDSTRAND MARITIME AND TRADING COMPANY","CUBA","","Pireas (Piraeus), Greece",""
"1641","Entity","PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION","CUBA","","Panama",""
"1660","Entity","PESCABRAVA, S.A.","CUBA","","Spain",""
"1700","Entity","PRELASA","CUBA","","Mexico",""
"1701","Entity","PRENSA LATINA CANADA LTD.","CUBA","","Montreal, Canada",""
"1702","Entity","PRENSA LATINA","CUBA","","Spain",""
"1888","Entity","SERVINAVES, S.A.","CUBA","","Panama",""
"2109","Entity","TROBER, S.A.","CUBA","TROVER, S.A.","Panama City, Panama",""
"2110","Entity","TROPIC TOURS GMBH","CUBA","TROPICANA TOURS GMBH","Berlin, Germany",""
"2184","Entity","VIAJES GUAMA, S.A.","CUBA","","Spain",""
"2186","Entity","VINALES TOURS","CUBA","","Cancun, Mexico | Guadalajara, Mexico | Mexico City, Mexico | Monterey, Mexico | Roma, Mexico",""
"2674","Individual","Abu ABBAS","SDGT","Muhammad ZAYDAN","","10 Dec 1948"
"2675","Individual","Shaykh Umar Abd AL RAHMAN","SDGT","","","03 May 1938"
"2676","Individual","Dr. Ayman AL ZAWAHIRI","SDGT","Ayman AL-ZAWAHIRI | Ahmad Fuad SALIM | Aiman Muhammad Rabi AL-ZAWAHIRI","","19 Jun 1951"
"2677","Individual","Abboud Abdul Latif Hassan AL-ZOMOR","SDGT","Abbud ZUMAR | Abbud AL-ZUMAR | Aboud Abdul Latif Hasan EL-ZOMOR | Abood Abdul Latif Hassan AL-ZUMUR | Abboud Abdul Latif Hassan AL-ZAMUR","Egypt","19 Apr 1947"
"2678","Individual","Abd Al Aziz AWDA","SDGT","","Region: Gaza","20 Dec 1950"
"2679","Individual","Shaykh Muhammad Husayn FADLALLAH","SDGT","","","1938 | 1936"
"2681","Individual","Nayif HAWATMA","SDGT","Nayif HAWATMEH | Nayif HAWATMAH | Abu KHALID","","1933"
"2682","Individual","Mohammad Shawqi ISLAMBOULI","SDGT","","Minya, Egypt","15 Jan 1955 | 21 Jan 1952"
"2683","Individual","Ahmad JABRIL","SDGT","Ahmad JIBRIL","","1938"
"2685","Individual","Talal Muhammad Rashid NAJI","SDGT","","","1930"
"2686","Individual","Hasan NASRALLAH","SDGT","Hasan Abd-al-Karim NASRALLAH","Lebanon","31 Aug 1960 | 31 Aug 1953 | 31 Aug 1955 | 31 Aug 1958"
"2690","Individual","Subhi TUFAYLI","SDGT","","","1947"
"2691","Individual","Sheik Ahmed Ismail YASSIN","SDGT","","Region: Gaza","1938"
"3748","Entity","COBALT REFINERY CO. INC.","CUBA","","Saskatchewan, Canada",""
"3749","Entity","LA COMPANIA GENERAL DE NIQUEL","CUBA","GENERAL NICKEL SA","Cuba",""
"3750","Entity","INTERNATIONAL COBALT CO. INC.","CUBA","","Saskatchewan, Canada",""
"3751","Entity","MOA NICKEL SA","CUBA | CUBA-EO14404","","Moa, Cuba",""
"3754","Individual","Mousa Mohammed ABU MARZOOK","SDGT","Musa Abu MARZUK | Dr. Musa ABU-MARZUQ | Mousa Mohamed Abou MARZOOK | Sa'id ABU-MARZUQ | ABU-'UMAR | Musa Abu MARZOUK","","09 Feb 1951"
"4108","Individual","Miguel Angel RODRIGUEZ OREJUELA","SDNT","EL SENOR | PATRICIA | PATRICIO | PATTY | PAT | MANUEL | MANOLO | MIKE | MAURO | DOCTOR M.R.O.","Cali, Colombia","23 Nov 1943 | 15 Jul 1943"
"4238","Vessel","MAR AZUL","CUBA","","",""
"4243","Vessel","EBANO","CUBA","ANA I | SAND SWAN","",""
"4249","Vessel","TIFON","CUBA","","",""
"4257","Individual","Ramadan ABDALLAH","SDGT","Dr. Ramadan ABDULLAH | Dr. Ramadan Abdullah SHALLAH | Ramadan Abdalla Mohamed SHALLAH","Damascus, Syria","01 Jan 1958"
"4632","Entity","BANK MARKAZI JOMHOURI ISLAMI IRAN","IRAN | IFSR | IRGC | SDGT","CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN | BANK MARKAZI IRAN | CENTRAL BANK OF IRAN","Tehran, Iran | Tehran, Iran | Tehran, Iran",""
"4633","Entity","BANK MASKAN","IRAN | IRAN-EO13902","HOUSING BANK - OF IRAN","Tehran, Iran | Tehran, Iran",""
"4635","Entity","BANK REFAH KARGARAN","IRAN | IRAN-EO13902","WORKERS' WELFARE BANK - OF IRAN | BANK REFAH","Tehran, Iran | Tehran, Iran | Tehran, Iran",""
"4639","Entity","BANK KESHAVARZI IRAN","IRAN | IRAN-EO13902","AGRICULTURAL BANK OF IRAN | BANK KESHAVARZI","Tehran, Iran",""
"4642","Entity","BANK SADERAT PLC","IRAN | SDGT | IFSR","IRAN OVERSEAS INVESTMENT BANK PLC | IRAN OVERSEAS INVESTMENT CORPORATION LIMITED | IRAN OVERSEAS INVESTMENT BANK LIMITED","London, United Kingdom | Tehran, Iran",""
"4688","Entity","ABU SAYYAF GROUP","FTO | SDGT","AL HARAKAT AL ISLAMIYYA","",""
"4690","Entity","ARMED ISLAMIC GROUP","SDGT","GIA | GROUPEMENT ISLAMIQUE ARME | AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH","",""
"4691","Entity","AUM SHINRIKYO","SDGT","AUM SUPREME TRUTH | A.I.C. SOGO KENKYUSHO | A.I.C. COMPREHENSIVE RESEARCH INSTITUTE | ALEPH","",""
"4693","Entity","EUZKADI TA ASKATASUNA","SDGT","BASQUE FATHERLAND AND LIBERTY | ETA | BATASUNA | EUSKAL HERRITARROK | HERRI BATASUNA | ASKATASUNA | EKIN | K.A.S. | XAKI | JARRAI-HAIKA-SEGI | EPANASTATIKI PIRINES | POPULAR REVOLUTIONARY STRUGGLE","",""
"4694","Entity","GAMA'A AL-ISLAMIYYA","SDGT","ISLAMIC GROUP | IG | AL-GAMA'AT | ISLAMIC GAMA'AT | EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA | GI","",""
"4695","Entity","HAMAS","FTO | SDGT","ISLAMIC RESISTANCE MOVEMENT | HARAKAT AL-MUQAWAMA AL-ISLAMIYA | STUDENTS OF AYYASH | STUDENTS OF THE ENGINEER | YAHYA AYYASH UNITS | IZZ AL-DIN AL-QASSIM BRIGADES | IZZ AL-DIN AL-QASSIM FORCES | IZZ AL-DIN AL-QASSIM BATTALIONS | IZZ AL-DIN AL QASSAM BRIGADES | IZZ AL-DIN AL QASSAM FORCES | IZZ AL-DIN AL QASSAM BATTALIONS","",""
"4696","Entity","HARAKAT UL-MUJAHIDEEN","FTO | SDGT","HUA | HARAKAT UL-ANSAR | HUM | HARAKAT UL-MUJAHIDIN | AL-FARAN | AL-HADID | AL-HADITH | JAMIAT UL-ANSAR | ANSAR-UL-UMMAH","",""
"4697","Entity","HIZBALLAH","FTO | SDGT | IFSR | IRGC","PARTY OF GOD | ISLAMIC JIHAD | ISLAMIC JIHAD ORGANIZATION | REVOLUTIONARY JUSTICE ORGANIZATION | ORGANIZATION OF THE OPPRESSED ON EARTH | ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE | ORGANIZATION OF RIGHT AGAINST WRONG | ANSAR ALLAH | FOLLOWERS OF THE PROPHET MUHAMMED | LEBANESE HIZBALLAH | LEBANESE HEZBOLLAH | LH | FOREIGN RELATIONS DEPARTMENT | FRD | EXTERNAL SECURITY ORGANIZATION | ESO | FOREIGN ACTION UNIT | HIZBALLAH ESO | HIZBALLAH INTERNATIONAL | SPECIAL OPERATIONS BRANCH | EXTERNAL SERVICES ORGANIZATION | EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH","",""
"4700","Entity","KAHANE CHAI","SDGT","REPRESSION OF TRAITORS | DIKUY BOGDIM | DOV | STATE OF JUDEA | COMMITTEE FOR THE SAFETY OF THE ROADS | SWORD OF DAVID | JUDEA POLICE | KAHANE LIVES | KFAR TAPUAH FUND | THE JUDEAN VOICE | FOREFRONT OF THE IDEA | THE QOMEMIYUT MOVEMENT | THE JUDEAN LEGION | THE WAY OF THE TORAH | THE YESHIVA OF THE JEWISH IDEA | KOACH | KACH | NEW KACH MOVEMENT | NEWKACH.ORG | KAHANE | YESHIVAT HARAV MEIR | THE INTERNATIONAL KAHANE MOVEMENT | KAHANE.ORG | JEWISH IDEA YESHIVA | KAHANETZADAK.COM | KAHANE TZADAK | THE HATIKVA JEWISH IDENTITY CENTER | THE RABBI MEIR DAVID KAHANE MEMORIAL FUND | THE JEWISH IDEA YESHIVA | FRIENDS OF THE JEWISH IDEA YESHIVA | JUDEAN CONGRESS | JEWISH LEGION | THE VOICE OF JUDEA | NO'AR MEIR | MEIR'S YOUTH | AMERICAN FRIENDS OF YESHIVAT RAV MEIR | AMERICAN FRIENDS OF THE UNITED YESHIVA | THE COMMITTEE AGAINST RACISM AND DISCRIMINATION | CARD","",""
"4702","Entity","KURDISTAN WORKERS' PARTY","FTO | SDGT | SDNTK","PKK | PARTIYA KARKERAN KURDISTAN | THE PEOPLE'S DEFENSE FORCE | HALU MESRU SAVUNMA KUVVETI | FREEDOM AND DEMOCRACY CONGRESS OF KURDISTAN | KADEK | KURDISTAN FREEDOM AND DEMOCRACY CONGRESS | KURDISTAN PEOPLE'S CONGRESS | PEOPLE'S CONGRESS OF KURDISTAN | KONGRA-GEL | KGK | HSK | KHK","",""
"4703","Entity","LIBERATION TIGERS OF TAMIL EELAM","FTO | SDGT","LTTE | TAMIL TIGERS | ELLALAN FORCE","",""
"4706","Entity","NATIONAL LIBERATION ARMY","FTO | SDGT","ELN | EJERCITO DE LIBERACION NACIONAL","",""
"4707","Entity","PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION","FTO | SDGT","PIJ-SHAQAQI FACTION | PIJ | ISLAMIC JIHAD IN PALESTINE | ISLAMIC JIHAD OF PALESTINE | ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS | PIJ-SHALLAH FACTION | PALESTINIAN ISLAMIC JIHAD | AL-QUDS SQUADS | SAYARA AL-QUDS | AL-QUDS BRIGADES | AL-AWDAH BRIGADES","",""
"4708","Entity","PALESTINE LIBERATION FRONT - ABU ABBAS FACTION","FTO | SDGT","PALESTINE LIBERATION FRONT | PLF | PLF-ABU ABBAS","",""
"4709","Entity","POPULAR FRONT FOR THE LIBERATION OF PALESTINE","FTO | SDGT","PFLP | RED EAGLES | RED EAGLE GROUP | RED EAGLE GANG | HALHUL GANG | HALHUL SQUAD | PALESTINIAN POPULAR RESISTANCE FORCES | PPRF | MARTYR ABU-ALI MUSTAFA BATTALION","",""
"4710","Entity","POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND","FTO | SDGT","PFLP-GC","",""
"4713","Entity","REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT","FTO | SDGT","DEVRIMCI HALK KURTULUS PARTISI-CEPHESI | DHKP/C | DEVRIMCI SOL | REVOLUTIONARY LEFT | DEV SOL | DEV SOL SILAHLI DEVRIMCI BIRLIKLERI | DEV SOL SDB | DEV SOL ARMED REVOLUTIONARY UNITS","",""
"4714","Entity","REVOLUTIONARY PEOPLE'S STRUGGLE","SDGT","EPANASTATIKOS LAIKOS AGONAS | ELA | REVOLUTIONARY POPULAR STRUGGLE | POPULAR REVOLUTIONARY STRUGGLE | JUNE 78 | ORGANIZATION OF REVOLUTIONARY INTERNATIONALIST SOLIDARITY | REVOLUTIONARY NUCLEI | REVOLUTIONARY CELLS | LIBERATION STRUGGLE","",""
"4715","Entity","SHINING PATH","FTO | SDGT | SDNTK","SENDERO LUMINOSO | SL | PARTIDO COMUNISTA DEL PERU EN EL SENDERO LUMINOSO DE JOSE CARLOS MARIATEGUI (COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI) | PARTIDO COMUNISTA DEL PERU (COMMUNIST PARTY OF PERU) | PCP | SOCORRO POPULAR DEL PERU | SPP | EJERCITO GUERRILLERO POPULAR | EGP | EJERCITO POPULAR DE LIBERACION | EPL | COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI | COMMUNIST PARTY OF PERU | PEOPLE'S AID OF PERU | PEOPLE'S GUERRILLA ARMY | PEOPLE'S LIBERATION ARMY","",""
"4717","Entity","DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION","SDGT","DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE | DFLP | RED STAR FORCES | RED STAR BATTALIONS","",""
"6365","Individual","Usama bin Muhammad bin Awad BIN LADIN","SDGT","Usama BIN LADIN | Usama BIN LADEN | Osama BIN LADEN | Osama BIN LADIN | Osama bin Muhammad bin Awad BIN LADIN","","30 Jul 1957 | 1958"
"6366","Entity","AL QA'IDA","FTO | SDGT","ISLAMIC SALVATION FOUNDATION | THE GROUP FOR THE PRESERVATION OF THE HOLY SITES | THE ISLAMIC ARMY FOR THE LIBERATION OF THE HOLY PLACES | THE WORLD ISLAMIC FRONT FOR JIHAD AGAINST JEWS AND CRUSADERS | AL QAEDA | THE BASE | USAMA BIN LADEN NETWORK | USAMA BIN LADEN ORGANIZATION | AL QAIDA | INTERNATIONAL FRONT FOR FIGHTING JEWS AND CRUSADES | ISLAMIC ARMY FOR THE LIBERATION OF HOLY SITES | AL-JIHAD | EGYPTIAN AL-JIHAD | EGYPTIAN ISLAMIC JIHAD | NEW JIHAD | THE JIHAD GROUP | ISLAMIC ARMY","",""
"6367","Individual","Abu Hafs AL-MASRI","SDGT","Sheikh Taysir ABDULLAH | Muhammad ATEF | Abu Hafs el Masry EL KHABIR | TAYSIR | ABU HAFS | Muhammad ATIF | Subhi ABU SITTA | Mohamed ATIF","","1951 | 1956 | 1944"
"6368","Individual","Rifa'i Ahmad Taha MUSA","SDGT","'ABD-AL-'IZ | Abd-al-Hai Ahmad ABD-AL-WAHAB | ABU YASIR | 'Issam 'Ali Muhammad 'ABD ALLAH | Salah 'Ali AL-KAMEL | Rifa'i Ahmad TAHA MUSA | THABIT 'IZ","","24 Jun 1954"
"6635","Individual","Mohammed OMAR","SDGT","","Afghanistan","1950"
"6636","Entity","TALIBAN","SDGT","ISLAMIC MOVEMENT OF TALIBAN | TAHRIKE ISLAMI'A TALIBAN | TALEBAN | TALIBAN ISLAMIC MOVEMENT | TALIBANO ISLAMI TAHRIK","Afghanistan",""
"6703","Individual","Jose de Jesus AMEZCUA CONTRERAS","SDNTK","AMESCUA, Chuey | AMEZCUA, Chuy | HERNANDEZ, Adan","Mexico","31 Jul 1965"
"6704","Individual","Luis Ignacio AMEZCUA CONTRERAS","SDNTK","LOPEZ, Luis | LOZANO, Eduardo | OCHOA, Salvador | RODRIGUEZ LOPEZ, Sergio","Mexico","22 Feb 1964"
"6707","Individual","Rafael CARO QUINTERO","SDNTK","Raphael CARO QUINTERO","Mexico","24 Oct 1952"
"6708","Individual","Vicente CARRILLO FUENTES","SDNTK","Andres CARRILLO FUENTES","Mexico","16 Oct 1962"
"6714","Individual","Hsueh Kang WEI","SDNTK","Chiwinnitipanya CHARNCHAI | Prasit CHIVINNITIPANYA | Xuekang WEI","Burma","29 Jun 1952 | 29 May 1952"
"6715","Individual","Benjamin Alberto ARELLANO FELIX","SDNTK","","Mexico","08 Nov 1953"
"6717","Individual","Arcangel de Jesus HENAO MONTOYA","SDNT","","Cartago, Colombia","07 Oct 1954"
"6725","Entity","ISLAMIC MOVEMENT OF UZBEKISTAN","FTO | SDGT","IMU","",""
"6823","Individual","Victor Julio PATINO FOMEQUE","SDNT","Victor Hugo PATINO FOMEQUE","Cali, Colombia","31 Jan 1959"
"6824","Entity","INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A","SDNT","INPESCA S.A.","Buenaventura, Colombia | Buenaventura, Colombia",""
"6826","Entity","GALAPAGOS S.A","SDNT","","Cali, Colombia | Cali, Colombia",""
"6831","Individual","Jorge Alirio DUQUE BOTERO","SDNT","","Buenaventura, Colombia","04 Jun 1949"
"6853","Entity","NEW IRISH REPUBLICAN ARMY","FTO | SDGT","REAL IRISH REPUBLICAN ARMY | RIRA | 32 COUNTY SOVEREIGNTY COMMITTEE | 32 COUNTY SOVEREIGNTY MOVEMENT | REAL OGLAIGH NA HEIREANN | IRISH REPUBLICAN PRISONERS WELFARE ASSOCIATION | REAL IRA | NEW IRA | NIRA | IRA ARMY COUNCIL","Ireland | United Kingdom",""
"6857","Individual","Osiel CARDENAS GUILLEN","SDNTK","SALINAS AGUILAR, Jorge | CARDENAS CASTILLO, Osiel","Mexico","18 May 1967"
"6858","Individual","Miguel Angel CARO QUINTERO","SDNTK","","Mexico","09 Mar 1963"
"6861","Individual","Joaquin GUZMAN LOERA","SDNTK","Max AREGON | Chapo GUZMAN | Jose Luis GUIERREZ LOERA | Joaquin GUZMAN FERNANDEZ | Joaquin GUZMAN LOESA | Joaquin GUZMAN PADILLA | Joaquin GUMAN LOERAL | Archibaldo GUZMAN | Aureliano GUZMAN | Miguel ORTEGA | Joise Luis RAMIREZ | Gilberto CARO RODRIGUEZ | Joaquin Chapo GUZMAN | Chapo GUZMAN LOREA | Joaguin GUZMAN LOEIA | Achivaldo GUZMAN | Gilberto OSUNA | Jorge RAMOX PEREZ","","25 Dec 1954"
"6865","Individual","Oscar MALHERBE DE LEON","SDNTK","","Mexico","10 Jan 1964"
"6866","Individual","Alcides RAMON MAGANA","SDNTK","ROMERO, Antonio | GONZALEZ QUIONES, Jorge | MAGANA, Jorge | MATA, Alcides","Mexico","04 Sep 1957"
"6895","Entity","UNITED SELF-DEFENSE FORCES OF COLOMBIA","SDGT | SDNTK","AUTODEFENSAS UNIDAS DE COLOMBIA | AUC","",""
"6896","Entity","ASBAT AL-ANSAR","FTO | SDGT","","",""
"6897","Entity","SALAFIST GROUP FOR CALL AND COMBAT","FTO | SDGT","GSPC | LE GROUPE SALAFISTE POUR LA PREDICATION ET LE COMBAT | SALAFIST GROUP FOR PREACHING AND COMBAT | AL-QA'IDA IN THE ISLAMIC MAGHREB | AQIM | TANZIM AL-QA'IDA FI BILAD AL-MAGHRIB AL-ISLAMIYA","",""
"6898","Entity","LIBYAN ISLAMIC FIGHTING GROUP","SDGT","","",""
"6899","Entity","AL-ITIHAAD AL-ISLAMIYA","SDGT","AIAI","",""
"6900","Entity","ISLAMIC ARMY OF ADEN","SDGT","","",""
"6901","Individual","Sayf AL-ADL","SDGT","Saif AL-'ADIL","","1963"
"6903","Individual","Mahfouz Ould AL-WALID","SDGT","Khalid AL-SHANQITI | Mafouz Walad AL-WALID | ABU HAFS THE MAURITANIAN","Mauritania","01 Jan 1975"
"6905","Individual","Zayn al-Abidin Muhammad HUSAYN","SDGT","Zain Al-Abidin Muhammad HUSAIN | ABU ZUBAIDA | Zayn al-Abidin Muhammad HUSSEIN | Zeinulabideen Muhammed Husein ABU ZUBEIDAH | ABU ZUBAYDAH","Cuba","12 Mar 1971"
"6906","Individual","Abd al-Hadi AL-IRAQI","SDGT","Abdal al-Hadi AL-IRAQI","Cuba","1961"
"6907","Individual","Thirwat Salah SHIHATA","SDGT","Tarwat Salah ABDALLAH | Shahata THIRWAT | Salah Shihata THIRWAT","","29 Jun 1960"
"6908","Individual","Tariq Anwar al-Sayyid AHMAD","SDGT","Amr Al-Fatih FATHI | Hamdi Ahmad FARAG","","15 Mar 1963"
"6910","Entity","MAKHTAB AL-KHIDAMAT/AL KIFAH","SDGT","","Peshawar, Pakistan",""
"6911","Entity","WAFA HUMANITARIAN ORGANIZATION","SDGT","AL WAFA | AL WAFA ORGANIZATION | WAFA AL-IGATHA AL-ISLAMIA","",""
"6912","Entity","AL RASHID TRUST","SDGT","AL RASHEED TRUST | AL-RASHID TRUST | AL-RASHEED TRUST | AL AMIN WELFARE TRUST | AL AMIN TRUST | AL AMEEN TRUST | AL-AMEEN TRUST | AL MADINA TRUST | AL-MADINA TRUST | MAYMAR TRUST | MAIMAR TRUST | MOMAR TRUST | MEYMAR TRUST","Karachi, Pakistan | Rawalpindi, Pakistan | Lahore, Pakistan | Peshawar, Pakistan | Swat, Pakistan | Mansehra, Pakistan | Karachi, Pakistan | Karachi, Pakistan | Peshawar Cantt., Pakistan",""
"6913","Entity","MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY","SDGT","DARKAZANLI COMPANY | DARKAZANLI EXPORT-IMPORT SONDERPOSTEN","Hamburg, Germany",""
"6915","Individual","Abdullah Ahmed ABDULLAH","SDGT","ABU MARIAM | Abu Mohamed AL-MASRI | SALEH","Afghanistan","1963"
"6916","Individual","Ahmed Mohammed Hamed ALI","SDGT","Ahmed Mohammed ABDUREHMAN | ABU FATIMA | ABU ISLAM | ABU KHADIIJAH | Ahmed AHMED | AHMED HAMED | AHMED THE EGYPTIAN | Hamed ALI | Ahmed Mohammed ALI | Ahmad AL-MASRI | Abu Islam AL-SURIR | Ahmed HEMED | Ahmed SHIEB | SHUAIB","Afghanistan","1965"
"6918","Individual","Ahmad Ibrahim AL-MUGHASSIL","SDGT","Ahmed Ibrahim AL-MUGHASSIL | ABU OMRAN","","26 Jun 1967"
"6919","Individual","Abdelkarim Hussein Mohamed AL-NASSER","SDGT","","",""
"6920","Individual","Ibrahim Salih Mohammed AL-YACOUB","SDGT","","","16 Oct 1966"
"6921","Individual","Ali ATWA","SDGT","Ammar Mansour BOUSLIM | Hassan Rostom SALIM","Lebanon","1960"
"6923","Individual","Ali Saed Bin Ali EL-HOORIE","SDGT","Ali Saed Bin Ali AL-HOURI | Ali Saed Bin Ali EL-HOURI","","10 Jul 1965 | 11 Jul 1965"
"6924","Individual","Mustafa Mohamed FADHIL","SDGT","Moustafa Ali ELBISHY | Mustafa MOHAMMED | Mustafa FAZUL | HUSSEIN | Mustafa Muhamad FADIL | Abd Al Wakil AL MASRI | ANIS, Abu | YUSSRR, Abu | Hassan ALI | Nu MAN | KHALID | Abu JIHAD | Abu AL-NUBI","","23 Jun 1976"
"6925","Individual","Ahmed Khalfan GHAILANI","SDGT","Ahmad Khalafan GHILANI | Ahmed Khalfan AHMED | Abubakar K. AHMED | Abubakary K. AHMED | Abubakar AHMED | Abu Bakr AHMAD | AHMED, A. | Ahmed KHALFAN | Ahmed Khalfan ALI | Abubakar Khalfan AHMED | Ahmed GHAILANI | Ahmad AL TANZANI | KHABAR, Abu | BAKR, Abu | Abubakary Khalfan Ahmed GHAILANI | Mahafudh Abubakar Ahmed Abdallah HUSSEIN | Shariff Omar MOHAMMED | ""FOOPIE"" | ""FUPI"" | ""AHMED THE TANZANIAN""","","14 Mar 1974 | 13 Apr 1974 | 14 Apr 1974 | 01 Aug 1970"
"6926","Individual","Hasan IZZ-AL-DIN","SDGT","GARBAYA, AHMED | SA-ID | Samir SALWWAN","Lebanon","1963"
"6927","Individual","Fazul Abdullah MOHAMMED","SDGT","Abdallah FAZUL | Abdalla FAZUL | Abdallah Mohammed FAZUL | Fazul Abdilahi MOHAMMED | Fazul ADBALLAH | Fazul ABDALLA | Fazul MOHAMMED | HAROON | HARUN | Haroon FAZUL | Harun FAZUL | Fadil Abdallah MUHAMAD | Fadhil HAROUN | AL SUDANI, Abu Seif | Abu AISHA | Abu LUQMAN | Fadel Abdallah Mohammed ALI | Fouad MOHAMMED","","25 Aug 1972 | 25 Dec 1974 | 25 Feb 1974"
"6928","Individual","Khalid Shaikh MOHAMMED","SDGT","","Cuba","14 Apr 1965 | 01 Mar 1964"
