UID,Type,Name,Programs,AKAs,Addresses,DOB
"47649","Entity","GRAZHDANSKIE PRIPASY","RUSSIA-EO14024","GP AMMO","Gryazi, Russia",""
"47650","Entity","FENIKS","RUSSIA-EO14024","PHOENIX | OBSHCHESTVO S OGRANICHENNOY OTVETSTVENNOSTYU FENIKS","Gryazi, Russia",""
"47651","Entity","ZAVOD LIPETSKTEKHNOLIT","RUSSIA-EO14024","","Gryazi, Russia",""
"47652","Entity","OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 1A","RUSSIA-EO14024","","S.p. Mirnovskoe, Russia",""
"47653","Entity","ALFALODZHIK","RUSSIA-EO14024","ALPHALOGIC","S.p. Mirnovskoe, Russia",""
"47654","Entity","VOSTOKINTERPROM LIMITED LIABILITY COMPANY","RUSSIA-EO14024","","S.p. Mirnovskoe, Russia",""
"47655","Entity","VINSAVER","RUSSIA-EO14024","","S.p. Mirnovskoe, Russia",""
"47656","Entity","EKOTEKHPLAST","RUSSIA-EO14024","ECOTECHPLAST LLC","S.p. Mirnovskoe, Russia",""
"47657","Entity","POSTAVSHCHIK DALNEGO VOSTOKA","RUSSIA-EO14024","","S.p. Mirnovskoe, Russia",""
"47658","Entity","OKSI BALT","RUSSIA-EO14024","OKSEA BALT LTD","Saint Petersburg, Russia | Saint Petersburg, Russia",""
"47659","Entity","NIZHNY NOVGOROD JOINT STOCK COMPANY HYDROMASH NAMED AFTER VI LUZYANIN","RUSSIA-EO14024","JSC HYDROMASH NAMED AFTER VI LUZYANIN","Nizhniy Novgorod, Russia",""
"47660","Entity","VISHNU INC.","SDGT","","Majuro, Marshall Islands | India",""
"47661","Vessel","OLYMPICS","SDGT","LADY SOFIA","",""
"47664","Entity","ANSARALLAH","SDGT | FTO","ANSAR ALLAH | ANSARULLAH | PARTISANS OF GOD | SUPPORTERS OF GOD | HOUTHI GROUP","Yemen",""
"47669","Individual","Ibrahim AL-NASHIRI","SDGT","Ibrahim Muhammad AL-NASHIRI | Ibrahim Muhammad Lutf AL-NASHIRI | WALTER, Muhammad | ABU HAYDAR","Yemen | China","1977"
"47670","Entity","FINANSOVYE INFORMATSIONNYE SISTEMY","RUSSIA-EO14024","FINANCIAL INFORMATION SYSTEMS","Novosibirsk, Russia | Novosibirsk, Russia",""
"47671","Entity","KEIS STUDIO","RUSSIA-EO14024","CASE STUDIO | CASE PLATFORM","Novosibirsk, Russia",""
"47672","Entity","AURIGA LIMITED LIABILITY COMPANY","RUSSIA-EO14024","","Moscow, Russia",""
"47673","Entity","LIMITED LIABILITY COMPANY BIMEISTER","RUSSIA-EO14024","SNH MEISTERSOFT","Domodedovo, Russia",""
"47674","Entity","LIMITED LIABILITY COMPANY ITC","RUSSIA-EO14024","AITISI","Moscow, Russia",""
"47675","Entity","GENAITI","RUSSIA-EO14024","GENIT","Moscow, Russia",""
"47676","Entity","LIMITED LIABILITY COMPANY I T C","RUSSIA-EO14024","AI TI SI","Saint Petersburg, Russia",""
"47677","Entity","ICL ELECTRONICS LIMITED LIABILITY COMPANY","RUSSIA-EO14024","","Stolbishche, Russia",""
"47678","Entity","AI TI SI CO","RUSSIA-EO14024","ITC ELECTRONICS","Novosibirsk, Russia",""
"47679","Individual","Georgii Semenovich POGIBLOV","RUSSIA-EO14024","Georgiy Semenovich POGIBLOV","Novosibirsk, Russia","13 Nov 1968"
"47680","Individual","Artur Ravilevich SUNGATOV","CYBER2","","Kazan, Russia","16 Jan 1990"
"47681","Entity","JSC SUEK","RUSSIA-EO14024 | UKRAINE-EO13662","AKTSIONERNOE OBSHCHESTVO SIBIRSKAYA UGOLNAYA ENERGETICHESKAYA KOMPANIYA","Moscow, Russia",""
"47682","Individual","Ivan Gennadievich KONDRATIEV","CYBER2","Ivan KONDRATYEV | Ivan KONDRATEV | BASSTERLORD | FISHEYE | EDITOR | @AL3XL7 | JACKROCK#3337 | @BASSTERLORD 0170742922 | @SINNER911 | @SINNER6546 | @BASSTERLORD | SIN998A | INVESTORLIFE1","Novomokovsk, Russia","08 Apr 1996"
"47683","Entity","PUBLICHNOE AKTSIONERNOE OBSHCHESTVO MECHEL","RUSSIA-EO14024 | UKRAINE-EO13662","MECHEL OAO | MECHEL PJSC | MECHEL STEEL GROUP OAO","Moscow, Russia",""
"47684","Entity","NPO COMPUTER","RUSSIA-EO14024","NPO KOMPYUTER","Izhevsk, Russia",""
"47685","Entity","3DATA","RUSSIA-EO14024","","Moscow, Russia",""
"47686","Entity","LIMITED LIABILITY COMPANY SAFEDATA","RUSSIA-EO14024","LIMITED LIABILITY COMPANY DATA STORAGE CENTER | TSENTR KHRANENIYA DANNYKH","Moscow, Russia",""
"47687","Entity","STACK TELECOM LTD","RUSSIA-EO14024","","Moscow, Russia",""
"47688","Entity","O2 KLAUD","RUSSIA-EO14024","","Moscow, Russia",""
"47689","Entity","TRUSTINFO","RUSSIA-EO14024","","Moscow, Russia",""
"47690","Entity","MIRAN LLC","RUSSIA-EO14024","","Saint-Petersburg, Russia",""
"47691","Entity","T1 HOLDING","RUSSIA-EO14024","","Moscow, Russia",""
"47692","Entity","MP LIMITED LIABILITY COMPANY","RUSSIA-EO14024","TEGRUS SYSTEMS INTEGRATOR","Moscow, Russia",""
"47693","Entity","UNISERVICE LIMITED LIABILITY COMPANY","RUSSIA-EO14024","UNISERVICE LLC","St. Petersburg, Russia | Saint Petersburg, Russia",""
"47694","Entity","AI TEKO INZHINIRING","RUSSIA-EO14024","","Moscow, Russia",""
"47695","Entity","SIROKKO TEKHNOLODZHI","RUSSIA-EO14024","LIMITED LIABILITY COMPANY SIROKKO TECHNOLOGY","Moscow, Russia",""
"47696","Entity","VAIBOS","RUSSIA-EO14024","VYBOS | VAYBOS","Dubna, Russia",""
"47697","Entity","GUANGZHOU AUSAY TECHNOLOGY CO., LIMITED","RUSSIA-EO14024","GUANGZHOU AUSAY TECHNOLOGY CO., LTD.","Guangzhou, China",""
"47698","Entity","GUANGZHOU HESEN IMPORT AND EXPORT CO., LTD","RUSSIA-EO14024","","Guangzhou, China",""
"47699","Individual","Tong Hyok RI","NPWMD","Tong-Hyo'k RI","Shenyang, China","27 Nov 1975"
"47700","Entity","YILUFA ELECTRONICS LIMITED","RUSSIA-EO14024","","Shenzhen, China",""
"47701","Individual","Pu Ung YU","NPWMD","Bu Ung YU | Mr. O","Shenyang, China","16 Sep 1966"
"47702","Entity","SHENZHEN BIGUANG TRADING CO., LTD","RUSSIA-EO14024","","Shenzhen, China",""
"47703","Entity","NEW IDEA GUANGZHOU TECHNOLOGY CO. LTD.","RUSSIA-EO14024","","Guangzhou, China",""
"47704","Individual","Mohammad Reza FALAHZADEH","IFSR | IRGC | SDGT","Mohammad Reza FALLAHZADEH","Iran","1962 to 1963 | 31 Dec 1961"
"47705","Vessel","YORGOS","SDGT","OHAR | ARTURA","",""
"47706","Entity","CAP TEES SHIPPING CO., LIMITED","SDGT","","Hong Kong, China",""
